    0.671458     0.679075            1
    0.196186     0.977786            1
    0.702633     0.809996            1
    0.909886     0.548065            1
    0.416232      0.73958            1
    0.704111     0.678438            1
    0.143735     0.110494           -1
    0.152443     0.609875           -1
    0.992076     0.887713            1
    0.632372     0.298104           -1
    0.648006     0.241896           -1
   0.0553952      0.84891           -1
    0.483624     0.473615           -1
     0.58084     0.835648            1
      0.8242     0.657112            1
    0.176932     0.157609           -1
    0.691782       0.9159            1
    0.589346    0.0272368           -1
    0.247172     0.388206           -1
    0.772729     0.117611           -1
    0.153412     0.538464           -1
    0.668831     0.216461           -1
    0.766458     0.212569           -1
    0.448646     0.898027            1
    0.616193    0.0865799           -1
    0.261466     0.401862           -1
    0.045124     0.778223           -1
    0.200492     0.455943           -1
    0.955529     0.672594            1
    0.232827     0.828897            1
    0.594185    0.0689451           -1
    0.183435     0.196473           -1
    0.938141     0.998274            1
    0.509875     0.936178            1
    0.675092    0.0768161           -1
    0.215576     0.672953           -1
    0.599698     0.627075            1
    0.893633     0.435083            1
    0.918354    0.0251257           -1
    0.274686     0.299117           -1
    0.761363     0.253503            1
   0.0715643     0.729108           -1
    0.912301     0.385185            1
    0.623156    0.0474931           -1
    0.900646     0.340415            1
    0.636622     0.695889            1
    0.552397     0.481317            1
    0.108862     0.521169           -1
    0.534342     0.632018            1
    0.989282     0.529267            1
    0.871661      0.28106            1
   0.0793548     0.635786           -1
    0.945802     0.896385            1
    0.711488    0.0340842           -1
    0.563485     0.888385            1
    0.139859     0.868623            1
    0.883097    0.0490681           -1
    0.455387     0.111985           -1
     0.15738     0.843001            1
    0.703142     0.918007            1
       0.992     0.449894            1
    0.249865     0.640803           -1
     0.92436     0.864391            1
    0.859441     0.328872            1
    0.293792     0.328515           -1
    0.799902     0.130772           -1
    0.418112     0.709729            1
    0.309107     0.320728           -1
    0.873769     0.852294            1
    0.528822     0.239777           -1
    0.811884     0.276063            1
    0.611649     0.955337            1
    0.672762     0.898863            1
    0.443793     0.319544           -1
    0.803713     0.916278            1
    0.447887     0.133069           -1
    0.227337      0.90555            1
    0.854164     0.812259            1
     0.97882     0.078757            1
     0.48743     0.706784            1
    0.575959     0.175313           -1
    0.782303     0.244969            1
    0.351873      0.40956           -1
    0.550961    0.0106965           -1
     0.50887     0.529461            1
    0.499457     0.385496           -1
     0.95696     0.178619            1
    0.770884     0.981573            1
    0.881287    0.0263894           -1
    0.926281     0.196661            1
    0.518439     0.455579           -1
    0.646144     0.882311            1
    0.224545     0.109471           -1
    0.185391     0.649536           -1
    0.480683     0.589792            1
    0.702452     0.697965            1
    0.262518    0.0290571           -1
     0.69334    0.0312702           -1
   0.0204639     0.809067           -1
    0.644083      0.18938           -1
